6.789	5.79	1
-6.384	1.185	-1
-2.203	-4.245	1
1.883	-4.802	-1
3.265	6.549	1
-7.109	9.618	-1
-2.55	-10.795	1
7.564	-1.541	-1
7.717	9.026	1
-5.885	4.935	-1
-7.422	-9.712	1
4.625	-10.551	-1
2.43	2.338	1
-8.399	9.081	-1
-3.66	-9.379	1
3.522	-9.71	-1
2.068	9.739	1
-4.876	1.614	-1
-7.682	-10.366	1
4.82	-8.104	-1
9.182	4.235	1
-8.821	6.329	-1
-8.212	-6.244	1
4.57	-4.8	-1
1.691	5.004	1
-8.617	5.755	-1
-3.148	-1.916	1
6.492	-9.389	-1
7.664	1.064	1
-8.416	7.911	-1
-5.842	-8.09	1
4.878	-4.597	-1
2.079	2.881	1
-8.69	5.984	-1
-7.886	-8.595	1
10.442	-1.003	-1
10.714	7.537	1
-7.355	9.322	-1
-8.416	-6.493	1
3.395	-2.862	-1
