-0.444	1.192	-1
-3.191	-3.831	1
-0.021	1.036	-1
-2.048	0.353	-1
-4.926	-0.61	1
-1.196	-1.072	-1
-0.179	-1.821	-1
-3.947	-1.567	1
-4.041	0.399	1
1.053	4.49	1
3.691	2.503	1
-0.653	4.823	1
-1.578	-4.732	1
-2.444	3.781	1
2.5	-3.852	1
-1.716	2.018	-1
-2.378	0.488	-1
-2.156	-4.064	1
-1.78	3.733	1
-4.245	0.378	1
-0.481	-4.451	1
1.414	-4.415	1
-0.035	-4.587	1
-4.004	2.726	1
-1.075	0.595	-1
3.962	-0.851	1
-4.482	-2.057	1
0.635	0.822	-1
1.563	0.706	-1
-0.841	-4.263	1
0.676	1.196	-1
-0.737	-4.19	1
3.896	1.684	1
-3.797	2.858	1
-4.235	0.765	1
2.701	3.258	1
0.867	0.233	-1
-1.557	-0.039	-1
-0.181	-2.384	-1
2.249	4.088	1
-1.83	-0.329	-1
3.996	1.156	1
-1.847	-4.364	1
-0.618	-4.621	1
-4.634	-1.332	1
3.979	-0.723	1
-2.814	-0.576	-1
-0.856	2.824	-1
3.726	1.821	1
2.449	-3.566	1
-3.37	-2.801	1
3.88	3.153	1
-2.694	-1.077	-1
-2.774	-3.13	1
1.016	1.076	-1
3.967	-2.252	1
-0.429	-4.192	1
-0.445	-1.143	-1
0.467	-4.594	1
3.879	-1.732	1
3.551	2.013	1
-1.753	-1.845	-1
-1.838	1.076	-1
-1.968	-0.693	-1
-0.527	-2.678	-1
-0.793	-0.699	-1
2.313	3.593	1
4.129	1.959	1
3.086	-3.292	1
-2.798	3.022	1
2.649	3.393	1
2.301	0.16	-1
0.645	-0.114	-1
0.055	1.508	-1
-2.403	4.156	1
-1.717	0.94	-1
3.119	-3.424	1
4.129	0.157	1
0.741	2.82	-1
-0.46	4.436	1
-0.9	-0.369	-1
3.525	2.401	1
-0.412	-2.178	-1
-0.673	-1.866	-1
3.99	-2.917	1
4.241	0.404	1
3.958	-1.666	1
1.634	1.039	-1
-2.041	-1.093	-1
2.826	3.288	1
-2.096	0.799	-1
-1.235	-1.834	-1
-2.202	1.458	-1
-2.271	1.367	-1
-0.039	-1.121	-1
0.791	2.603	-1
0.449	1.892	-1
-0.23	1.782	-1
-1.343	-2.132	-1
4.192	-1.713	1
3.424	-3.215	1
0.006	4.886	1
4.398	-0.408	1
-2.096	0.961	-1
4.287	-1.057	1
-3.419	-2.473	1
2.198	1.938	-1
2.851	-3.178	1
